game_pk,game_date,home_team,away_team,delta_home_win_exp
41507,2006-07-30,NYY,TB,2.466
41446,2006-07-26,CLE,DET,2.46
41497,2006-07-30,ATL,NYM,2.398
41465,2006-07-27,PHI,AZ,2.388
41472,2006-07-28,COL,SD,2.376
41534,2006-08-01,SF,WSH,2.3689999999999998
41532,2006-08-01,PIT,ATL,2.366
41509,2006-07-30,PHI,MIA,2.356
41479,2006-07-28,PHI,MIA,2.336
41517,2006-07-31,LAA,OAK,2.328
41502,2006-07-30,COL,SD,2.302
41491,2006-07-29,MIN,DET,2.273
41482,2006-07-29,ATL,NYM,2.272
41485,2006-07-29,CHC,STL,2.259
41455,2006-07-26,SEA,TOR,2.2439999999999998
40197,2006-07-30,PHI,MIA,2.236
41454,2006-07-26,PHI,AZ,2.196
41499,2006-07-30,BOS,LAA,2.174
41523,2006-08-01,BOS,CLE,2.068
41516,2006-07-31,KC,CWS,2.041
41492,2006-07-29,NYY,TB,2.022
41514,2006-07-31,CHC,AZ,2.016
41531,2006-08-01,NYY,TOR,1.976
41536,2006-08-01,TB,DET,1.9649999999999999
41521,2006-07-31,TB,DET,1.8940000000000001
41515,2006-07-31,COL,MIL,1.825
41456,2006-07-26,TB,LAA,1.81
41522,2006-08-01,BAL,SEA,1.71
41500,2006-07-30,CHC,STL,1.696
41450,2006-07-26,LAD,SD,1.638
41462,2006-07-27,HOU,CIN,1.63
41488,2006-07-29,HOU,AZ,1.606
41447,2006-07-26,COL,STL,1.6
41459,2006-07-27,ATL,MIA,1.59
41453,2006-07-26,OAK,BOS,1.404
41477,2006-07-28,NYY,TB,1.274
41481,2006-07-28,TEX,KC,1.274
41474,2006-07-28,LAD,WSH,1.268
41511,2006-07-30,TEX,KC,1.248
41530,2006-08-01,MIN,TEX,1.1300000000000001
41494,2006-07-29,PHI,MIA,1.096
41519,2006-07-31,PHI,MIA,1.058
41524,2006-08-01,CHC,AZ,1.016
41518,2006-07-31,MIN,TEX,0.728
41563,2006-08-04,AZ,HOU,5.698
41618,2006-08-08,CWS,NYY,5.63
41557,2006-08-03,LAA,TEX,4.902
41569,2006-08-04,KC,MIN,4.816
41602,2006-08-06,SD,WSH,4.358
41566,2006-08-04,CIN,ATL,4.2700000000000005
41588,2006-08-05,SF,COL,4.108
41564,2006-08-04,BAL,NYY,4.08
41606,2006-08-06,TB,BOS,4.068
41614,2006-08-07,SEA,TB,4.021
41581,2006-08-05,CIN,ATL,3.958
41599,2006-08-06,KC,MIN,3.93
41538,2006-08-02,BOS,CLE,3.892
41628,2006-08-08,SEA,TB,3.866
41604,2006-08-06,SEA,OAK,3.85
41571,2006-08-04,NYM,PHI,3.757
41582,2006-08-05,DET,CLE,3.598
41623,2006-08-08,KC,BOS,3.516
41620,2006-08-08,CLE,LAA,3.488
41627,2006-08-08,OAK,TEX,3.486
41596,2006-08-06,CIN,ATL,3.402
41626,2006-08-08,NYM,SD,3.384
41552,2006-08-03,BOS,CLE,3.362
41621,2006-08-08,DET,MIN,3.358
41575,2006-08-04,STL,MIL,3.35
41624,2006-08-08,LAD,COL,3.338
41593,2006-08-06,AZ,HOU,3.304
41542,2006-08-02,MIA,NYM,3.183
41598,2006-08-06,MIA,LAD,3.158
41544,2006-08-02,LAA,OAK,3.084
41576,2006-08-04,TB,BOS,3.008
41597,2006-08-06,DET,CLE,3.001
41551,2006-08-02,TB,DET,2.996
41547,2006-08-02,PIT,ATL,2.98
41555,2006-08-03,MIA,NYM,2.968
41577,2006-08-04,TOR,CWS,2.908
41537,2006-08-02,BAL,SEA,2.852
41590,2006-08-05,STL,MIL,2.848
41567,2006-08-04,DET,CLE,2.84
41630,2006-08-08,WSH,MIA,2.839
41629,2006-08-08,TOR,BAL,2.82
41562,2006-08-03,TB,DET,2.808
